iter	RMSE
0	0.3958521137
1	0.3930811035
2	0.3901335976
3	0.3871201959
4	0.3844219234
5	0.3815124428
6	0.3787356524
7	0.3760056098
8	0.3733201349
9	0.3706090888
10	0.3679488222
11	0.3652176353
12	0.3625185502
13	0.3599289586
14	0.357498686
15	0.355147719
16	0.352753833
17	0.3500469989
18	0.3474730028
19	0.344812819
20	0.3423141908
21	0.339763049
22	0.3373993728
23	0.3349699301
24	0.3326655232
25	0.3304927491
26	0.328212967
27	0.3261569422
28	0.3238476615
29	0.3215655174
30	0.3194008718
31	0.3172854116
32	0.3152296189
33	0.313140485
34	0.311007809
35	0.3088021798
36	0.3068667002
37	0.3048069889
38	0.302760538
39	0.3008922183
40	0.2988830681
41	0.2969358958
42	0.2950518621
43	0.2931793039
44	0.2913433117
45	0.2894256864
46	0.2875886355
47	0.2857681652
48	0.283877363
49	0.2820813312
50	0.2805548057
51	0.2788526082
52	0.2771560561
53	0.2754571848
54	0.2738793531
55	0.272244846
56	0.2706324317
57	0.2691711434
58	0.2675475041
59	0.2657820692
60	0.2642382174
61	0.2627429183
62	0.2611855733
63	0.2595697682
64	0.2580467793
65	0.2565297403
66	0.2549412019
67	0.2535498059
68	0.252129295
69	0.2509233849
70	0.2493943778
71	0.2479209185
72	0.2465586155
73	0.2452053863
74	0.2438595039
75	0.2426087872
76	0.241249503
77	0.2399618359
78	0.2386874006
79	0.2373739697
80	0.2361210677
81	0.2349423936
82	0.2336757285
83	0.2325215077
84	0.2313007875
85	0.2300427152
86	0.228845742
87	0.2276975322
88	0.2265157077
89	0.2252740528
90	0.2242030298
91	0.2231193308
92	0.2219104598
93	0.2208396187
94	0.2196971182
95	0.2185478204
96	0.2174638815
97	0.2164418976
98	0.2154560651
99	0.2143669416
100	0.2133145814
101	0.212161981
102	0.2112471345
103	0.2102680961
104	0.2093035277
105	0.2083182004
106	0.2073542918
107	0.2064491401
108	0.2053689067
109	0.2044115207
110	0.203392546
111	0.2023794735
112	0.2014241891
113	0.2005852671
114	0.1997290632
115	0.1988114351
116	0.1979870273
117	0.197179526
118	0.1963699467
119	0.1955562931
120	0.1947555062
121	0.1938694623
122	0.1932081779
123	0.1924657369
124	0.1916234561
125	0.190909489
126	0.1900670943
127	0.1893470027
128	0.1885390248
129	0.1877687831
130	0.1870073612
131	0.1862837756
132	0.1855280228
133	0.1848229717
134	0.1840980883
135	0.1834721616
136	0.1826914699
137	0.1820915698
138	0.1814698127
139	0.1807802899
140	0.1801212028
141	0.179478879
142	0.1788068251
143	0.1781723906
144	0.177640309
145	0.1770138373
146	0.1764184824
147	0.175798778
148	0.1751883755
149	0.1745349257
150	0.1739111886
151	0.1733854247
152	0.1728152546
153	0.1722093269
154	0.1715836967
155	0.1709486843
156	0.1703355413
157	0.1697399151
158	0.169122524
159	0.1685360619
160	0.1679812646
161	0.1674086383
162	0.1668978509
163	0.166285681
164	0.1658319087
165	0.1653386998
166	0.1648583316
167	0.1643163214
168	0.163772434
169	0.1632489038
170	0.1627169444
171	0.1622800843
172	0.1617930438
173	0.1613262099
174	0.160855565
175	0.1604233334
176	0.1599934565
177	0.1595659741
178	0.1590515074
179	0.1586162365
180	0.1581697265
181	0.1576759087
182	0.1572046244
183	0.1567990684
184	0.15639548
185	0.1559323769
186	0.1555823737
187	0.1551875426
188	0.1547105992
189	0.1542849475
190	0.1538706578
191	0.1534995511
192	0.1530560574
193	0.1526660119
194	0.1522636597
195	0.1518446474
196	0.1514721195
197	0.1511115314
198	0.1507698611
199	0.1503286603
200	0.1499278773
201	0.1495112011
202	0.1491259413
203	0.1487583209
204	0.1483836879
205	0.1479738721
206	0.1476200201
207	0.1471883145
208	0.146861657
209	0.1465303654
210	0.1462019329
211	0.1457833832
212	0.1453925921
213	0.1450661961
214	0.1447813986
215	0.1444335907
216	0.1440868601
217	0.1437128602
218	0.1433711514
219	0.1430792812
220	0.1427544476
221	0.1423959168
222	0.1420536714
223	0.1417609432
224	0.1413812849
225	0.1410092729
226	0.1406887353
227	0.1403470698
228	0.140061415
229	0.1397349599
230	0.1393919492
231	0.1390334185
232	0.1387250176
233	0.1384003059
234	0.1382036344
235	0.1379381542
236	0.1377104061
237	0.1374717821
238	0.1371941641
239	0.1369240959
240	0.1366129979
241	0.1363416886
242	0.1360016062
243	0.1357329811
244	0.1354598115
245	0.1351690828
246	0.1349131221
247	0.134640968
248	0.13441278
249	0.1341652378
250	0.1338464819
251	0.1335722717
252	0.1332762579
253	0.1330601873
254	0.1327890224
255	0.1325646181
256	0.1323381058
257	0.1320515096
258	0.1318081491
259	0.1315069982
260	0.1312584229
261	0.131041569
262	0.1307759862
263	0.1304944441
264	0.1302534541
265	0.1300121134
266	0.1297641061
267	0.1295042741
268	0.1293103003
269	0.1290867252
270	0.1288633721
271	0.1286491655
272	0.1284324852
273	0.1282185407
274	0.1280249461
275	0.1278325067
276	0.1276068369
277	0.1273913902
278	0.1271519464
279	0.1269555032
280	0.1267371159
281	0.1265689363
282	0.1263645954
283	0.1261762051
284	0.1260144321
285	0.1258210715
286	0.1256095667
287	0.1253891236
288	0.1252064664
289	0.1250300425
290	0.1248338182
291	0.1246288392
292	0.1244394526
293	0.1242036891
294	0.1240140475
295	0.1238222503
296	0.1236528266
297	0.1234738137
298	0.1232457361
299	0.1230782251
300	0.1229041828
301	0.1227153329
302	0.1225861422
303	0.1223344829
304	0.1221270891
305	0.1219656585
306	0.1217839409
307	0.1216214149
308	0.1214330941
309	0.1212101689
310	0.1210470645
311	0.1208755657
312	0.1206473562
313	0.1204920103
314	0.1202929491
315	0.120083452
316	0.1199125189
317	0.1197118026
318	0.1194848828
319	0.1193011267
320	0.1191084164
321	0.1189490123
322	0.118801548
323	0.1186588897
324	0.1184934877
325	0.1183306087
326	0.1181512478
327	0.1180137589
328	0.1179015983
329	0.1177227289
330	0.1175677424
331	0.1174188149
332	0.11728744
333	0.1171236196
334	0.1170233834
335	0.1168452003
336	0.1166861155
337	0.1165354502
338	0.1163837137
339	0.1162698786
340	0.1160868908
341	0.1159640097
342	0.1158221191
343	0.1156814587
344	0.1155458756
345	0.1154518514
346	0.1153469931
347	0.1152324938
348	0.1150994708
349	0.114970533
350	0.1148608631
351	0.1147523872
352	0.1146440775
353	0.1144859853
354	0.1143300957
355	0.1142089455
356	0.1140316386
357	0.1139221727
358	0.1137610855
359	0.1135985966
360	0.1134874665
361	0.1133429391
362	0.1132047374
363	0.1130494601
364	0.1129106263
365	0.1127620442
366	0.1126497922
367	0.1125264752
368	0.112402116
369	0.112267726
370	0.1121396866
371	0.1120129679
372	0.1118862834
373	0.1117794765
374	0.1116578817
375	0.1115356122
376	0.1113821472
377	0.1112730044
378	0.1111553975
379	0.1110429283
380	0.1109474783
381	0.1108612576
382	0.1107333252
383	0.1106098491
384	0.1105047049
385	0.1103892829
